,City,Purchase Power,Health Care,Pollution,QoL_H,Crime Rating,Unesco,lat,lng,Country
144,Antalya,19.34011934011934,51.53733528550512,33.055615667604414,42.08197347376857,44.98931052912881,0.0,36.8968908,30.7133233,Turkey
145,Alicante,44.82274482274482,72.91361639824305,30.50205583207098,71.78251211549963,44.29449492250133,9.090909090909092,38.345996299999996,-0.49068549999999994,Spain
146,Barcelona,45.98104598104597,50.099826966591245,77.63471110149318,57.33971357402288,40.90058792089791,0.0,36.088105600000006,-95.9241306,Spain
147,Madrid,55.7973557973558,70.11846133368829,60.34408136766933,64.56965887940119,38.05451630144308,54.54545454545454,40.4167754,-3.7037902000000003,Spain
148,Valencia,49.994149994149986,68.20178357513643,38.130274832287384,67.42973180556345,20.283270978086584,0.0,28.521792200000004,-81.46357669999998,Spain
149,Santiago,27.58862758862759,60.26886729668575,100.0,53.80449792249445,42.04970603955104,9.090909090909092,-33.4488897,-70.66926550000001,Chile
150,Helsinki,56.195156195156194,71.23652335951019,31.529971867561134,90.20054694621695,40.21913415285943,18.181818181818183,60.16985569999999,24.938379100000002,Finland
151,Lisbon,30.537030537030535,55.304139491547986,31.14044579095434,54.69020195232075,39.04329235702833,36.36363636363637,38.722252399999995,-9.1393366,Portugal
152,Porto,29.133029133029137,54.14614667908958,73.18762172689894,56.325343246760134,35.60929983965793,0.0,42.34820999999999,-71.080545,Portugal
153,Braga,27.88112788112788,65.06056169306535,15.732525427396665,62.56964589033351,9.70069481560663,36.36363636363637,41.5454486,-8.426506999999999,Portugal
154,Casablanca,7.979407979407979,43.75083189138827,68.13460289980523,44.81529119892714,36.63816141101016,0.0,43.037177899999996,-88.13519509999998,Morocco
155,Nicosia,38.2005382005382,68.16185278849994,6.784245834235013,59.66767390498434,36.557990379476216,18.181818181818183,35.1855659,33.38227639999999,Cyprus
156,Limassol,39.487539487539486,75.562358578464,28.933131356849163,69.49561374090047,17.22340994120791,27.27272727272727,34.7071301,33.0226174,Cyprus
157,Belgrade,17.643617643617645,42.19353121256489,83.40186106903268,42.022135926547456,36.22394441475147,0.0,44.786568,20.448921600000002,Serbia
158,Chiang Mai,11.126711126711129,86.6231864767736,33.055615667604414,47.78356066331122,35.970069481560664,0.0,18.788343899999997,98.9853008,Thailand
159,Bangkok,16.8948168948169,100.0,65.34299935078988,47.806350089017684,33.72528059861037,9.090909090909092,13.7563309,100.5017651,Thailand
